[INFO ] [34] [2021-01-27 12:18:02,865] Preparing import process for data catalog: Reifengundlach
[INFO ] [84] [2021-01-27 12:21:02,054] Preparing import process for data catalog: Falken
[INFO ] [107] [2021-01-27 12:26:02,211] Preparing import process for data catalog: Ronal
[INFO ] [124] [2021-01-27 13:18:03,078] Preparing import process for data catalog: Reifengundlach
[INFO ] [122] [2021-01-27 13:21:02,272] Preparing import process for data catalog: Falken
[INFO ] [116] [2021-01-27 13:26:02,359] Preparing import process for data catalog: Ronal
[INFO ] [124] [2021-01-27 14:18:03,335] Preparing import process for data catalog: Reifengundlach
[INFO ] [39] [2021-01-27 14:21:02,598] Preparing import process for data catalog: Falken
[INFO ] [18] [2021-01-27 14:26:02,656] Preparing import process for data catalog: Ronal
[INFO ] [18] [2021-01-27 15:18:03,635] Preparing import process for data catalog: Reifengundlach
[INFO ] [154] [2021-01-27 15:21:02,869] Preparing import process for data catalog: Falken
[INFO ] [38] [2021-01-27 15:26:02,973] Preparing import process for data catalog: Ronal
[INFO ] [22] [2021-01-27 16:18:03,979] Preparing import process for data catalog: Reifengundlach
[INFO ] [68] [2021-01-27 16:21:03,147] Preparing import process for data catalog: Falken
[INFO ] [61] [2021-01-27 16:26:03,197] Preparing import process for data catalog: Ronal
[INFO ] [109] [2021-01-27 17:17:04,178] Preparing import process for data catalog: Reifengundlach
[INFO ] [111] [2021-01-27 17:25:03,450] Preparing import process for data catalog: Ronal
[INFO ] [56] [2021-01-27 18:17:04,481] Preparing import process for data catalog: Reifengundlach
[INFO ] [92] [2021-01-27 18:20:03,658] Preparing import process for data catalog: Falken
[INFO ] [59] [2021-01-27 18:25:03,705] Preparing import process for data catalog: Ronal
[INFO ] [94] [2021-01-27 19:17:04,723] Preparing import process for data catalog: Reifengundlach
[INFO ] [143] [2021-01-27 19:20:03,905] Preparing import process for data catalog: Falken
[INFO ] [148] [2021-01-27 19:25:04,058] Preparing import process for data catalog: Ronal
[INFO ] [58] [2021-01-27 20:17:04,944] Preparing import process for data catalog: Reifengundlach
[INFO ] [17] [2021-01-27 20:20:04,181] Preparing import process for data catalog: Falken
[INFO ] [20] [2021-01-27 20:25:04,236] Preparing import process for data catalog: Ronal
[INFO ] [31] [2021-01-27 21:17:05,261] Preparing import process for data catalog: Reifengundlach
[INFO ] [3] [2021-01-27 21:20:04,518] Preparing import process for data catalog: Falken
[INFO ] [148] [2021-01-27 22:17:05,525] Preparing import process for data catalog: Reifengundlach
[INFO ] [9] [2021-01-27 22:20:04,781] Preparing import process for data catalog: Falken
[INFO ] [105] [2021-01-27 23:20:04,916] Preparing import process for data catalog: Falken
[INFO ] [28] [2021-01-28 00:20:05,102] Preparing import process for data catalog: Falken
[INFO ] [117] [2021-01-28 01:20:05,425] Preparing import process for data catalog: Falken
[INFO ] [152] [2021-01-28 02:20:05,622] Preparing import process for data catalog: Falken
[INFO ] [73] [2021-01-28 03:20:05,920] Preparing import process for data catalog: Falken
[INFO ] [133] [2021-01-28 04:20:06,115] Preparing import process for data catalog: Falken
[INFO ] [95] [2021-01-28 06:17:07,360] Preparing import process for data catalog: Reifengundlach
[INFO ] [101] [2021-01-28 06:20:06,612] Preparing import process for data catalog: Falken
[INFO ] [20] [2021-01-28 06:25:06,658] Preparing import process for data catalog: Ronal
